,,,,,Waitlist # at end of day,
Person ID,Course Sec,Registration Date,Status,Waitlist Reason,Day -89,Day -88
1475458,FDMAT108-15,7/20/2016 1:51:00 PM,Wait List,,,
1390499,FDMAT108-15,7/20/2016 2:41:00 PM,Dropped,,,
1390499,FDMAT108-15,7/20/2016 2:41:00 PM,Registered,Waitlist Registered,,
1506090,FDMAT108-15,7/21/2016 8:58:00 AM,Dropped,Waitlist Student Dropped,,
1308845,FDMAT108-15,7/21/2016 12:34:00 PM,Wait List,,,
1308845,FDMAT108-15,7/21/2016 7:59:00 PM,Dropped,Waitlist Student Dropped,,
1475458,FDMAT108-15,7/21/2016 9:09:00 PM,Dropped,Waitlist Student Dropped,,
1450078,FDMAT108-15,7/22/2016 8:01:00 AM,Wait List,,,
1507328,FDMAT108-15,7/23/2016 9:46:00 AM,Wait List,,,
1507328,FDMAT108-15,7/23/2016 9:55:00 AM,Dropped,Waitlist Student Dropped,,
1443028,FDMAT108-15,7/24/2016 5:00:00 PM,Dropped,,,
1487979,FDMAT108-15,7/25/2016 10:52:00 AM,Dropped,,,
1487979,FDMAT108-15,7/25/2016 10:52:00 AM,Registered,Waitlist Registered,,
1492050,FDMAT108-15,7/26/2016 3:25:00 PM,Dropped,,,
1383778,FDMAT108-15,7/27/2016 3:21:00 PM,Wait List,,,
