name,type,time,amount
SplashandDash,Services,2016-06-04T17:08:00Z,20
SplashandDash,Services,2016-06-04T17:39:00Z,10
SplashandDash,Services,2016-06-04T17:43:00Z,20
SplashandDash,Services,2016-06-04T18:22:00Z,30
SplashandDash,Services,2016-06-04T18:27:00Z,50
SplashandDash,Services,2016-06-06T19:17:00Z,20
SplashandDash,Services,2016-06-06T19:55:00Z,20
SplashandDash,Services,2016-06-06T17:20:00Z,30
SplashandDash,Services,2016-06-06T18:08:00Z,10
SplashandDash,Services,2016-06-06T18:25:00Z,95
SplashandDash,Services,2016-06-06T18:36:00Z,25
SplashandDash,Services,2016-06-06T18:57:00Z,20
SplashandDash,Services,2016-06-06T20:07:00Z,50
SplashandDash,Services,2016-06-06T20:20:00Z,10
SplashandDash,Services,2016-06-06T20:31:00Z,20
SplashandDash,Services,2016-06-06T20:53:00Z,-12.23
SplashandDash,Services,2016-06-06T21:01:00Z,50
SplashandDash,Services,2016-06-06T22:59:00Z,25
SplashandDash,Services,2016-06-07T19:31:00Z,30
SplashandDash,Services,2016-06-07T19:46:00Z,45
SplashandDash,Services,2016-06-07T19:48:00Z,27
SplashandDash,Services,2016-06-07T16:44:00Z,70
SplashandDash,Services,2016-06-07T16:48:00Z,40
SplashandDash,Services,2016-06-07T17:14:00Z,20
SplashandDash,Services,2016-06-07T17:23:00Z,30
SplashandDash,Services,2016-06-07T17:41:00Z,95
SplashandDash,Services,2016-06-07T20:04:00Z,20
SplashandDash,Services,2016-06-07T21:25:00Z,30
SplashandDash,Services,2016-06-07T21:55:00Z,10
SplashandDash,Services,2016-06-08T19:12:00Z,10
SplashandDash,Services,2016-06-08T19:31:00Z,-21.23
SplashandDash,Services,2016-06-08T19:31:00Z,20
SplashandDash,Services,2016-06-08T19:32:00Z,-23.6
SplashandDash,Services,2016-06-08T19:54:00Z,20
SplashandDash,Services,2016-06-08T17:07:00Z,3
SplashandDash,Services,2016-06-08T18:24:00Z,10
SplashandDash,Services,2016-06-08T22:46:00Z,70
SplashandDash,Services,2016-06-09T19:59:00Z,20
SplashandDash,Services,2016-06-09T17:00:00Z,-7.53
SplashandDash,Services,2016-06-09T17:07:00Z,50
SplashandDash,Services,2016-06-09T17:16:00Z,50
SplashandDash,Services,2016-06-09T18:10:00Z,20
SplashandDash,Services,2016-06-09T18:57:00Z,30
SplashandDash,Services,2016-06-09T20:56:00Z,30
SplashandDash,Services,2016-06-09T21:00:00Z,30
SplashandDash,Services,2016-06-09T21:11:00Z,15
SplashandDash,Services,2016-07-01T19:02:00Z,37.5
SplashandDash,Services,2016-07-01T19:04:00Z,20
SplashandDash,Services,2016-07-01T19:06:00Z,20
SplashandDash,Services,2016-07-01T19:13:00Z,27
SplashandDash,Services,2016-07-01T19:15:00Z,18
SplashandDash,Services,2016-07-01T19:18:00Z,21
SplashandDash,Services,2016-07-01T19:35:00Z,37.5
SplashandDash,Services,2016-07-01T19:40:00Z,13
SplashandDash,Services,2016-07-01T19:50:00Z,108
SplashandDash,Services,2016-07-01T19:51:00Z,16
SplashandDash,Services,2016-07-01T19:52:00Z,5
SplashandDash,Services,2016-07-01T19:59:00Z,56
SplashandDash,Services,2016-07-01T17:25:00Z,50
SplashandDash,Services,2016-07-01T17:25:00Z,70
SplashandDash,Services,2016-07-01T17:32:00Z,19.5
SplashandDash,Services,2016-07-01T17:43:00Z,100
SplashandDash,Services,2016-07-01T17:43:00Z,20
SplashandDash,Services,2016-07-01T17:54:00Z,27
SplashandDash,Services,2016-07-01T17:58:00Z,16
SplashandDash,Services,2016-07-01T18:07:00Z,20
SplashandDash,Services,2016-07-01T18:30:00Z,15
SplashandDash,Services,2016-07-01T18:32:00Z,27
SplashandDash,Services,2016-07-01T18:49:00Z,30
SplashandDash,Services,2016-07-01T20:16:00Z,20
SplashandDash,Services,2016-07-01T20:26:00Z,5
SplashandDash,Services,2016-07-01T21:34:00Z,20
SplashandDash,Services,2016-07-01T21:41:00Z,25
SplashandDash,Services,2016-07-01T22:15:00Z,40
SplashandDash,Services,2016-07-01T22:24:00Z,-1.13
SplashandDash,Services,2016-07-11T19:02:00Z,70
SplashandDash,Services,2016-07-11T17:13:00Z,45
SplashandDash,Services,2016-07-11T17:17:00Z,50
SplashandDash,Services,2016-07-11T17:50:00Z,90
SplashandDash,Services,2016-07-11T20:11:00Z,10
SplashandDash,Services,2016-07-11T20:45:00Z,90
SplashandDash,Services,2016-07-11T22:06:00Z,15
SplashandDash,Services,2016-07-11T14:33:00Z,-14.72
SplashandDash,Services,2016-07-12T19:35:00Z,27
SplashandDash,Services,2016-07-12T17:16:00Z,20
SplashandDash,Services,2016-07-12T17:54:00Z,24
SplashandDash,Services,2016-07-12T18:14:00Z,20
SplashandDash,Services,2016-07-12T18:18:00Z,18
SplashandDash,Services,2016-07-12T18:53:00Z,27
SplashandDash,Services,2016-07-12T18:59:00Z,18
SplashandDash,Services,2016-07-13T19:18:00Z,16
SplashandDash,Services,2016-07-13T19:24:00Z,20
SplashandDash,Services,2016-07-13T19:25:00Z,4
SplashandDash,Services,2016-07-13T19:32:00Z,30
SplashandDash,Services,2016-07-13T19:42:00Z,16
SplashandDash,Services,2016-07-13T17:12:00Z,15
SplashandDash,Services,2016-07-13T17:20:00Z,20
SplashandDash,Services,2016-07-13T17:38:00Z,16
SplashandDash,Services,2016-07-13T18:06:00Z,40
SplashandDash,Services,2016-07-13T18:08:00Z,27
SplashandDash,Services,2016-07-13T18:21:00Z,24
SplashandDash,Services,2016-07-13T18:26:00Z,50
SplashandDash,Services,2016-07-13T18:43:00Z,10
SplashandDash,Services,2016-07-13T22:08:00Z,80
SplashandDash,Services,2016-07-14T19:21:00Z,30
SplashandDash,Services,2016-07-14T17:19:00Z,30
SplashandDash,Services,2016-07-14T17:31:00Z,20
SplashandDash,Services,2016-07-14T18:17:00Z,30
SplashandDash,Services,2016-07-14T18:48:00Z,20
SplashandDash,Services,2016-07-14T20:04:00Z,50
SplashandDash,Services,2016-07-14T22:28:00Z,10
SplashandDash,Services,2016-07-14T22:29:00Z,35
SplashandDash,Services,2016-07-14T22:50:00Z,10
SplashandDash,Services,2016-07-14T22:50:00Z,10
SplashandDash,Services,2016-07-15T19:46:00Z,50
SplashandDash,Services,2016-07-15T19:49:00Z,20
SplashandDash,Services,2016-07-15T16:57:00Z,30
SplashandDash,Services,2016-07-15T17:50:00Z,30
SplashandDash,Services,2016-07-15T18:00:00Z,20
SplashandDash,Services,2016-07-15T18:01:00Z,35
SplashandDash,Services,2016-07-15T18:41:00Z,15
SplashandDash,Services,2016-07-15T20:03:00Z,30
SplashandDash,Services,2016-07-15T20:06:00Z,40
SplashandDash,Services,2016-07-15T21:13:00Z,50
SplashandDash,Services,2016-07-15T22:09:00Z,35
SplashandDash,Services,2016-07-15T22:50:00Z,-55.7
SplashandDash,Services,2016-07-18T16:58:00Z,-61.25
SplashandDash,Services,2016-07-05T19:37:00Z,30
SplashandDash,Services,2016-07-05T19:40:00Z,10
SplashandDash,Services,2016-07-05T19:53:00Z,12
SplashandDash,Services,2016-07-05T17:16:00Z,30
SplashandDash,Services,2016-07-05T17:41:00Z,26
SplashandDash,Services,2016-07-05T20:44:00Z,20
SplashandDash,Services,2016-07-05T20:46:00Z,30
SplashandDash,Services,2016-07-06T19:11:00Z,16
SplashandDash,Services,2016-07-06T19:17:00Z,43
SplashandDash,Services,2016-07-06T17:18:00Z,100
SplashandDash,Services,2016-07-06T17:33:00Z,40
SplashandDash,Services,2016-07-06T17:53:00Z,25
SplashandDash,Services,2016-07-06T17:53:00Z,55
SplashandDash,Services,2016-07-06T18:08:00Z,45
SplashandDash,Services,2016-07-06T18:18:00Z,50
SplashandDash,Services,2016-07-06T18:21:00Z,20
SplashandDash,Services,2016-07-06T18:31:00Z,24
SplashandDash,Services,2016-07-06T18:46:00Z,25
SplashandDash,Services,2016-07-06T18:46:00Z,20
SplashandDash,Services,2016-07-06T20:11:00Z,75
SplashandDash,Services,2016-07-06T20:39:00Z,-39.91
SplashandDash,Services,2016-07-06T20:58:00Z,-2.15
SplashandDash,Services,2016-07-06T21:43:00Z,25
SplashandDash,Services,2016-07-06T22:26:00Z,30
SplashandDash,Services,2016-07-07T19:28:00Z,40
SplashandDash,Services,2016-07-07T19:28:00Z,50
SplashandDash,Services,2016-07-07T19:39:00Z,18
SplashandDash,Services,2016-07-07T19:57:00Z,72
SplashandDash,Services,2016-07-07T17:13:00Z,10
